id,latitude,longitude
1,57.1574,-2.09477
2,57.144555,-2.106472
3,57.133888,-2.094198
4,54.353728,-6.654558
5,52.50385,-3.034178
6,54.851491,-6.274961
7,54.861595,-6.250873
8,53.56292,-1.510436
9,51.390922,-2.35503
10,54.59965,-5.928833
11,54.572586,-5.974944
12,54.60537,-1.275039
13,53.388624,-3.024942
14,52.476145,-1.874978
15,52.481346,-1.918235
16,53.747763,-2.45268
17,53.80489,-3.007175
18,51.662332,-0.270001
19,50.73957,-1.826744
20,53.771245,-1.759774
21,50.840836,-0.147572
22,51.462839,-2.584482
23,51.457968,-2.583975
24,52.82105,-1.635718
25,53.559029,-2.293772
26,55.862281,-3.205782
27,52.20237,0.124456
28,51.54421,-0.175269
29,52.687298,-1.980821
30,51.27399,1.098061
31,51.48178,-3.17625
32,51.49096,-3.152305
33,54.885823,-2.964955
34,51.05625,-2.68345
35,51.374264,0.54797
36,51.638094,-2.678731
37,53.244131,-1.454946
38,53.231751,-1.456928
39,51.149617,-1.438228
40,50.735454,-1.780888
41,52.411628,-1.560189
42,52.407708,-1.490082
43,53.115941,-2.453492
44,51.653819,-3.00637
45,52.922983,-1.469507
46,55.002818,-7.331179
47,,
48,53.693104,-1.637111
49,53.518383,-1.13806
50,55.943197,-4.55973
51,55.070033,-3.614233
52,56.475434,-2.959861
53,50.805778,0.271611
54,55.94476,-3.183991
55,55.945589,-3.182186
56,55.31531,-3.206111
57,50.725083,-3.532465
58,56.82266,-5.101102
59,55.872038,-4.270936
60,55.860936,-4.238214
61,55.85894,-4.259122
62,55.865782,-4.243631
63,53.46008,-2.472056
64,56.010319,-3.704399
65,56.013142,-3.710833
66,55.944079,-4.734421
67,51.680493,-3.134325
68,51.5993,-0.068218
69,54.683242,-1.203838
70,54.334497,-0.80882
71,50.792287,-3.196702
72,51.165865,-0.167734
73,53.74878,-0.341222
74,53.759013,-0.305678
75,53.619241,-0.213324
76,57.481308,-4.241451
77,53.40337,-1.752006
78,52.28881,-1.533119
79,52.294884,-1.542911
80,53.80378,-1.546472
81,53.819972,-1.576361
82,52.638742,-1.124267
83,52.619904,-1.127182
84,52.221593,-2.73684
85,53.221432,-0.534204
86,53.34633,-2.844333
87,51.46603,0.184806
88,51.52229,-0.125889
89,51.45258,0.070766
90,51.584128,-0.125254
91,51.48879,-0.441614
92,51.49633,-0.460861
93,51.52253,-0.154611
94,51.52105,-0.213492
95,51.49467,-0.131931
96,50.7937,0.18125
97,51.892293,-0.46211
98,53.48152,-2.237881
99,53.371722,-2.238917
100,54.569297,-1.220874
101,51.782616,-4.69237
102,54.97825,-1.610528
103,54.986405,-1.595362
104,51.601203,-2.977281
105,52.272257,-0.916605
106,52.614823,1.302686
107,52.95473,-1.146447
108,52.969377,-1.188851
109,52.502436,-2.003497
110,51.751745,-1.257463
111,51.744806,-1.260278
112,55.657472,-3.196527
113,50.37167,-4.142361
114,50.411058,-4.130288
115,51.58395,-3.770822
116,50.82881,-1.068583
117,50.798339,-1.095558
118,53.76559,-2.680353
119,51.454896,-0.940382
120,51.45309,-0.944067
121,51.45617,0.634889
122,53.48481,-2.334139
123,52.132417,-0.300306
124,53.58634,-0.636811
125,53.579227,-2.093844
126,53.40495,-1.455815
127,53.378622,-1.478096
128,53.41058,-1.396139
129,50.920265,-1.463484
130,50.908173,-1.395757
131,51.544166,0.678331
132,51.480499,-0.05955
133,53.451826,-2.742134
134,51.777874,1.04901
135,51.518167,0.439548
136,54.565819,-1.3159
137,54.516667,-1.358547
138,52.980436,-2.111898
139,53.02821,-2.175133
140,50.916932,-0.449548
141,54.88361,-1.406878
142,54.91839,-1.408391
143,51.632696,-3.947374
144,51.558061,-1.765678
145,52.673471,-2.436692
146,51.47707,0.317969
147,51.52253,-0.042155
148,52.605641,-2.030371
149,53.389225,-2.615593
150,52.508342,-1.98607
151,52.2985,0.290917
152,53.365391,-2.73168
153,53.54914,-2.638139
154,53.37287,-3.022722
155,50.832947,-0.379916
156,53.042282,-3.002829
157,50.5976,-3.71651
158,53.967513,-1.086514
159,53.951889,-1.075861
